Hash,App Name,App_Activity,Location,Reviews
1e73c89fd19f57a9634d0ef8b7ab3a1dc9d26207ccaf2f37beee8edb8e848f76,1E73C89FD19F57A9634D0EF8B7AB3A1DC9D26207CCAF2F37BEEE8EDB8E848F76,awwsome.word.guide.game.full.guideforwcgame,Androzoo,
2ca414340473f9e706848cc75ee3d8a58b1fbe33a8b0e60ee0bb30b877a7b8d5,2CA414340473F9E706848CC75EE3D8A58B1FBE33A8B0E60EE0BB30B877A7B8D5,com.my.acanet,Androzoo,
017d4ed98a1c94cd6b7f1c5acdd5178c1c485ce3f616741c9a9535868362f077,017D4ED98A1C94CD6B7F1C5ACDD5178C1C485CE3F616741C9A9535868362F077,com.yeahoo.chat,Androzoo,
2e21e23ef46d9c4773eaeef05749491c8e032c7f134ef6011a3d922a7da693fe,2E21E23EF46D9C4773EAEEF05749491C8E032C7F134EF6011A3D922A7DA693FE,com.shanghaidaily.shine,Androzoo,
003483ff2a74bf9b2aa6cc20850df8d0ea0eedc16089e6b65159d692157e658c,003483FF2A74BF9B2AA6CC20850DF8D0EA0EEDC16089E6B65159D692157E658C,ct.canlidoviz,Androzoo,
2d1d76caef282e40ae76fcad2ffa94bd18690abd652e804a6562ae9020345109,2D1D76CAEF282E40AE76FCAD2FFA94BD18690ABD652E804A6562AE9020345109,com.mkapps.virtualtrading,Androzoo,
2c338a77f0eff6b811433351889d2574cdb6f56d93e6806ffe03fcde2f8c863f,2C338A77F0EFF6B811433351889D2574CDB6F56D93E6806FFE03FCDE2F8C863F,in.odiaportal.odiajataka,Androzoo,
0bc167335f1f593ecd96cc06043241b2cbfd87d6f3dc511fabf9ce8c5b5f6b40,0BC167335F1F593ECD96CC06043241B2CBFD87D6F3DC511FABF9CE8C5B5F6B40,barnasoba.chromatic,Androzoo,
19b3c283b02b627da6cfedd2ea6cf1a14a7dbea1237bd0e14651c5fd8ac9a25c,19B3C283B02B627DA6CFEDD2EA6CF1A14A7DBEA1237BD0E14651C5FD8AC9A25C,br.com.aplicativosejogos.textosdeamor,Androzoo,
1d7e323a47f13930262612e7a6a3f22c2486f3daca1c372b479928fcfea13812,1D7E323A47F13930262612E7A6A3F22C2486F3DACA1C372B479928FCFEA13812,com.noblr.app,Androzoo,
0c01126c72e8ceabb6727ed1cccc82a365aeaa416be21dac5661597ab7037b6b,0C01126C72E8CEABB6727ED1CCCC82A365AEAA416BE21DAC5661597AB7037B6B,tunnel.entclass.vpn,Androzoo,
4e4b068824b6b006c5364efe2440c15bb3e778a5a90bad5a741486e6eba9e7fa,TeachMeAnatomy5.34Apkpure,com.atomengineapps.teachmeanatomy,APKPure,
0d79be6f44e84d21153071a07b5dcb612e0258523562d9b25000ed18674e9c85,AllEventsinCity-Discover10.1Apkpure,com.amitech.allevents,APKPure,
2ccb7ec12dc68a705abc7ae6a1fae754b69c106c06788c9dc8e1a0bb02168d93,ArtFlowPaintDrawSketchbook2.9.26Apkpure,com.bytestorm.artflow,APKPure,
84088e6ccc735b9b5076505cc679715891a33c22011c056d390e73b7ebfaa368,BabyDevelopmentParenting1.46Apkpure,com.babyg,APKPure,
5ec3556eb8efd7f46f5e4cd397d4dea0fac560d0ac57b924f86d36a8c59f515d,BooksyforCustomers2.10.2354Apkpure,net.booksy.customer,APKPure,
1c01d1cdb469df25e93ce5605748977c630f8538a4d1a1b5bc59af533feb4b93,BotHubAIChatbotHub1.0.61Apkpure,app.bestsimple.kindgpt,APKPure,
4d096ee25b14689a3cfc9748cd7d11ef0a9eb772302a1dab4526d7c51922adda,BusinessGame8.0Apkpure,business.monopoly.city,APKPure,
6a5f9e907f286cc6f3bbba5e855f857b951a789c5ad88c6c4ba86ab93cef5f19,CrossyRoad5.3.1Apkpure,com.yodo1.crossyroad,APKPure,
c5694e5755b3bfc96e09ee0dbd6fe0acda968c347c30f8d6e29a2e073a54c50b,DJMusicmixer-DJMixStudio1.2.6Apkpure,dj.music.mixer.sound.effects,APKPure,
ffe335681a8a2208272a6fc449e045ff0fcd6cd888fed019d3b709f56bff4da6,ESPNFantasySports8.5.0Apkpure,com.espn.fantasy.lm.football,APKPure,
a5a6fc03922b9ac9b22d66a7b5bae9e379e401df81efc83587d2c120998a4ffd,hooplaDigital4.69.2Apkpure,com.hoopladigital.android,APKPure,
9aff64a69f94a56ca65f181089ee0b86bfd1e92e693b8a2f38ebce6fadc13afd,Joylada6.30.3Apkpure,com.ookbee.joyapp.android,APKPure,
9d9cf078ada7448fae11e0dd220a616b4f7dfa6b386fd87665f7fcc82efedf83,ParentLab–DailyParentingApp4.5.0Apkpure,com.parentlab.canis,APKPure,
93f07ad591f7da9414570bdce95642afd8ac1d42ab4ee1a7d0dd1a8dda52b814,VividSeatsEventTickets2023.58.0Apkpure,com.vividseats.android,APKPure,
6c361853e61e5c9a3ef75397e3dec064108c9902dad2331a6d3a5a140becfbbe,Винлаб—алкогольныенапитки4.5.6Apkpure,ru.winelab,APKPure,
5e0b94fe2ccc7730fdab6542ef461e05bca0b5de9ce8ea7f40e24800de70b4d8,BloombergFinanceMarketNews5.98.0.3930355.fd19b588eApkpure,com.bloomberg.android.plus,APKPure,
584c782bb624242c6cbeab571a8df5e8e4365fcb4c437cc13d8b175440724a48,com.ror.removal,com.ror.removal,Google_Play,
b1940bf41d60e8eddae647650ab612c392b762cfc02bbabba9ddd714eded5290,com.hubx.imagination,com.hubx.imagination,Google_Play,
172cbb986ee80acc8e39ee24c1ede86f0697a933aa3a86d73c0c1ffe5d66bfd0,com.aige.hipaint,com.aige.hipaint,Google_Play,
37cadb37d18903c89b980cf500560835296c243ef2a523ef58d4ba2406be6bb9,com.inforcegames.app3dmodelling,com.inforcegames.app3dmodelling,Google_Play,
cfd17b46f8abd9d75fa9c67dfa44ac61857305bc8833724a159c9931ee71d16a,com.pixilart.app,com.pixilart.app,Google_Play,
ef04eff61b1b7d3daf96f3e3334539e9305db0e70e7a986e2e28beb5dd74401b,com.enflick.android.TextNow,com.enflick.android.TextNow,Google_Play,
bc9dc9f5bf4ecf19e2197b796375cdaf2bfdda7d77cc4921097f6a2793184409,com.PixelStudio,com.PixelStudio,Google_Play,
0c21f6d60e23b0fa05150aadace148b5bcd282f222a84b020a206c24e869f25f,LinkedInJobsBusinessNews4.1.833.1Apkpure,com.linkedin.android,APKPure,
5bb894104924433a374e0a18e2aa9d319009233e5c7a60896855e59345418ff8,FlipaClipCreate2DAnimation3.3.7Apkpure,com.vblast.flipaclip,APKPure,
abf86ca642dd75bff1f9df756cccf851cea157a438157816c0ad665a79f5d26c,TappytoonComicsNovels3.35.1Apkpure,com.contentsfirst.tappytoon,APKPure,
15efb6f40b69f3fc9c53c94dca8198f4707e1a6366be8cf141d90060c599f756,SmartTools-Utilities20.6Apkpure,com.pcmehanik.smarttoolbox,APKPure,
652aa32ee11dd109f11feef942fa4207306b1651e8f342e047cf450d8ae7b9a5,CarGurusUsedNewCars2.77Apkpure,com.cargurus.mobileApp,APKPure,
40627fad47208e13ff7955035d04715ba5b4eebde6c5a19701777458539c1063,WEBTOON2.12.10Apkpure,com.naver.linewebtoon,APKPure,
cf9ed4a78ae98f9517332a14e8dbf629734d4b44633e22304b5428f6d0a1589e,AlfredCameraHomeSecurityapp2023.10.1Apkpure,com.ivuu,APKPure,
a070a78a18adc558d7f3a279a12d3f44a6012fe1cbe7db83aa04dd24a66d261d,AudiomackMusicDownloader6.25.4Apkpure,com.audiomack,APKPure,
93239a8bf32f3c909348aadb026671add11c825e004e82ba08db5a19cd6e2de4,POCKETCOMICSPremiumWebtoon5.3.1Apkpure,io.comico,APKPure,
dfdd8b1fab12bec7fa8da314ed2e2dfd6c97c2adb3e62949f7b450ee8c8ebbaf,B612AIPhotoVideoEditor12.1.25Apkpure,com.linecorp.b612.android,APKPure,
5fb021386529a98f9a78b96f2555943247c369bb4ad1597e51a0af9a53bb9ddd,VideoMaker1.485.136Apkpure,videoeditor.videomaker.videoeditorforyoutube,APKPure,
3d048d40c9bb5f536acb6395350502b31eede8a24966b1ce1c04cc189106d14e,YouCamMakeup-SelfieEditor6.10.1Apkpure,com.cyberlink.youcammakeup,APKPure,
f4240eb7b5bcb96629872aefee046daf1f0f9cceb68ed58d5b3d3937a78d8138,UltaBeautyMakeupSkincare8.2.1Apkpure,com.ulta,APKPure,
d57e474849005ca8bc044bfa86cdb88d05b810327c4452008f1173b2f280904f,AutoZone-AutoPartsRepair23.5.1Apkpure,com.autozone.mobile,APKPure,
6cd2117dc5101d5a232f3ff4095c7dc03419fec825c565830dc5e59ea846497e,MangaToon-MangaReader3.05.06Apkpure,mobi.mangatoon.comics.aphone,APKPure,
a5a6fc03922b9ac9b22d66a7b5bae9e379e401df81efc83587d2c120998a4ffd,hooplaDigital4.69.2Apkpure1,com.hoopladigital.android,APKPure,
70c8b3e51a2432dfd8fbfaa05ab39db4457d1fe96c1e0e38389bc5ab3eb8d6e0,AIChat-AIChatbotAssistant1.1.3Apkpure,com.tiptop.ai.chat.gpt,APKPure,
600ddfe9e713c101aa0b05a4249bae972dba0ccee1145baeb9b7705df0df16b1,Call_of_Dragons_1.0.14.69_Apkpure,com.farlightgames.samo.gp,APKPure,
58fabeeb12709d59771e982dc385c65d7dd203ec185e8e54645c9c7ac1cd3368,HilyDatingapp.MeetPeople.3.8.0Apkpure,com.hily.app,APKPure,
42643b9d8b40b50d5a37c4b6dbf846f6ed9828d0b41fc39ec5bc976035a09e96,HeyBeautyLovePuzzle1.0.4.8Apkpure,com.hey.beauty.puzzle.game,APKPure,
b55e1b90032d6bb8973e95de3945e290a41522a5ded7cc0331d4a1d2207d01e9,ReadlyMagazinesNewspapers6.13.0Apkpure,com.readly.client,APKPure,
1fdcc39e195c89da744a5fd6bf9938bc9305cd593af5e6313ff45a37de9df1eb,Chick-fil-A®2023.8.2Apkpure,com.chickfila.cfaflagship,APKPure,
7015cad8ed7eac9a9bc58da71f105bfdbb338c336e3bf2c575f4737ea57a98c6,BumbleDatingFriendsapp5.324.0Apkpure,com.bumble.app,APKPure,
a9411de8a35b8c6e13f43ca4dbe620cff1f9b65938c1237e418a35b989c20992,KMPlayer-AllVideoPlayer42.09.132Apkpure,com.kmplayer,APKPure,
8dfd2ddbae23bd01783df6df16801c094b7e6503b0dee2651ea1d72f80f27bd6,Angry_Birds_2_3.11.3_Apkpure,com.rovio.baba,APKPure,
68dab2998b0a12d1090e685706e20b9b56e37381299c0fdb9ebf8fa33eee2b8f,Subway®29.28.0Apkpure,com.subway.mobile.subwayapp03,APKPure,
5dfadda29f4a02fbc2ad86b02302ed152c56ec4c83a981930c555ec6d43067c2,Gametime-LastMinuteTickets2023.12.0Apkpure,com.gametime.gametime,APKPure,
643bc9f1f4b40d5ed93a9c1e6257bcb4cd2b737addab1f1f2eb5a5654ae69760,"BeautyPlus-Retouch,Filters7.6.034Apkpure",com.commsource.beautyplus,APKPure,
2c64ca049a120a7421100aa0b67c199519a108ccb6046c441a7e456a4b97f42a,BadooDating.Chat.Meet.5.324.0Apkpure,com.badoo.mobile,APKPure,
97bbab5baeca33ae6f4572dbc7c79c62b646aab4873f5971e128e0cb613b62ba,ReadlyMagazinesNewspapers6.12.1Apkpure,com.readly.client,APKPure,
3cbcd854bbcb32e533d431a90d8a7fde410ffa9a5d6cff20a3227c0477ae862a,Whiteout_Survival_1.7.9_Apkpure,com.gof.global,APKPure,
edc37057bce38514beb945d25d124986338ee9c78f61e7681d5f36bc459cf33b,AmazonMusicSongsPodcasts23.8.0Apkpure,com.amazon.mp3,APKPure,
4213e5d0e6f3ffedc92f67607e2a8852f6bcc3ed38b0beafab287cfccf6acd68,AppClose-co-parentingapp3.1.1Apkpure,com.appclose.androidapp,APKPure,
f45949e07bc66c6a5a345250b0da89a382ae7bf4ff1db26c923a99df25359ef7,DesignHomeLifestyleGame1.97.075Apkpure,com.crowdstar.covetHome,APKPure,
a6a349fc7a04002c3fd29a7afc4b10223a2f923602d990f45764f1e4f6265776,StepTracker-Pedometer1.3.8Apkpure,steptracker.healthandfitness.walkingtracker.pedometer,APKPure,
5b4f30ffb919927f5d66297571fb43fd2e3fa8991677d736a65639b792c47607,PlentyofFishDatingApp4.95.0.1513060Apkpure,com.pof.android,APKPure,